,2.7
7 and 8,3.2
7 años de matrimonio,2.5
7 from Etheria,3.6
7 jours pas plus,3.5
7 monaci d'oro,2.5
7 ore per farti innamorare,3.1
7-Man Army,2.7
7.2,4.0
70 Big Ones,3.0
70 Is Just a Number,3.0
700 Days of Battle: Us vs. the Police,4.2
700 Sundays,3.7
71 Fragments of a Chronology of Chance (71 Fragmente einer Chronologie des Zufalls),3.5
711 Ocean Drive,3.0
713-й просит посадку,3.0
71: Into The Fire (Pohwasogeuro),3.3
72 Meters,3.2
72 Tenants of Prosperity,1.8
7333 seconds of Johanna,3.5
7500,2.3
7500,3.2
752 Is Not a Number,1.5
76,0.5
76 89 03,4.5
76 Days,3.4
77 Chances: A Story About Letting Go,2.0
77 Minutes,2.8
777 Charlie,2.8
78 Tours,3.0
78/52,3.2
79 Springs,2.8
7:19,3.0
7:20 Once a Week,3.0
7:35 in the Morning,3.6
7A,3.0
7G Rainbow Colony,3.2
7aam Arivu,3.6
7eventy 5ive,2.1
7lives,1.0
7th Cavalry (Seventh Cavalry),3.3
"7th Dawn, The",3.0
7th Day,4.5
7th Floor,3.2
7th Heaven (Seventh Heaven),3.2
7th Secret,1.5
"7th Voyage of Sinbad, The",3.6
7½ Phere,3.5
8,2.8
8,2.7
8 1/2 (8½),4.0
8 Ball Bunny,3.5
8 Best Dates,2.5
8 Bit Generation: The Commodore Wars,4.5
8 Dates,3.5
8 Days: To the Moon and Back,3.7
"8 Diagram Pole Fighter, The (a.k.a. Invincible Pole Fighter) (Wu Lang ba gua gun)",3.6
8 First Dates,3.1
8 Graves,1.5
8 Heads in a Duffel Bag,2.6
8 Mile,3.3
8 Million Ways to Die,3.1
8 Minutes Idle,3.3
8 Murders a Day,5.0
8 New Dates,2.5
8 Remains,3.0
8 Seconds,3.2
8 Times Up,2.0
8 Women,3.4
8 X 10 Tasveer,1.8
8 X 8: A Chess-Sonata in 8 Movements,3.5
8 ½ $,2.9
8 ½ Women (a.k.a. 8 1/2 Women) (a.k.a. Eight and a Half Women),2.9
8-Ball (8-pallo),3.1
8-Bit Christmas,3.2
80 Milionów,3.3
80 Minutes,1.6
80 Steps to Jonah,0
80 for Brady,2.5
"80,000 Suspects",0
"80,000 Years Old",4.0
800 Bullets (800 Balas),3.1
8000 Miles,2.0
808,3.9
8213: Gacy House,1.7
83 Hours 'Til Dawn,3.0
84 Charing Cross Road,3.8
84 Charlie Mopic,3.3
88,2.3
88 Minutes,2.9
89 Blocks,4.5
8989 Redstone,2.0
8: The Mormon Proposition,3.5
8:46,4.0
8:46,4.0
8MM,3.0
8MM 2,2.7
8eraf,2.0
8ight After,4.0
8th Wonderland,3.2
9,3.5
9,3.5
9,3.0
9,1.0
9 1/2 Weeks (Nine 1/2 Weeks),3.0
9 Bullets,1.2
9 Dalmuir West,5.0
9 Fingers,2.3
9 Full Moons,5.0
9 Satra,3.8
9 Songs,2.8
9 Souls (Nain souruzu),3.8
9 Star Hotel (Malon 9 Kochavim),3.2
9 Variations on a Dance Theme,2.8
9-Man,3.8
9.79*,3.8
9/11,3.5
9/11,2.2
9/11 Phone Calls from the Towers,3.8
9/11: Escape from the Towers,3.5
9/11: Explosive Evidence: Experts Speak Out,5.0
9/11: Fifteen Years Later,3.5
9/11: Four Flights,3.5
9/11: I Was There,4.0
9/11: Inside Air Force One,3.5
9/11: Inside the President's War Room,3.6
9/11: Life Under Attack,3.5
9/11: The Falling Man,3.5
9/11: The Heartland Tapes,3.5
9/11: Voices From the Air,3.5
9/Tenths,2.5
90 Minutes (90 minutter),3.4
90 Minutes in Heaven,2.5
90° South,2.5
91%,3.0
911 Nightmare,2.7
911: The Road to Tyranny,4.8
92 Legendary La Rose Noire,0
93 Days,2.9
95,3.0
95 Miles to Go,3.5
9500 Liberty,0
95ers: Time Runners,1.2
96,3.7
96 Minutes (2011),2.9
96 Souls,3.5
964 Pinocchio,3.0
97 Minutes,5.0
97% Owned,5.0
976-EVIL,2.1
976-EVIL II,1.9
977,3.0
984: Prisoner of the Future,1.2
99,3.8
99 Dizengoff Street,2.2
99 Homes,3.5
99 Moons,2.5
99 River Street,3.2
99 Women,3.0
99 and 44/100% Dead,3.0
99 francs,3.7
999-9999,2.5
9th Company,3.2
9to5: Days in Porn (a.k.a. 9 to 5: Days in Porn),3.3
9to5: The Story of a Movement,3.6
?E?Anx (The Cave),4.0
@urFRENZ,0.5
A,3.7
A 2nd Chance,3.0
A 3 Minute Hug,4.0
A Babysitter's Guide to Monster Hunting,2.6
A Bad Idea Gone Wrong,2.9
A Bad Moms Christmas,2.7
A Bad Son,3.5
A Bag of Marbles,3.7
A Bagful of Fleas,3.5
A Bahraini Tale,2.5
A Ballad of Love,5.0
A Banda das Velhas Virgens,5.0
A Bandit,1.5
A Banquet,3.0
A Barefoot Dream,4.0
A Bear Named Winnie,3.0
A Beautiful Day in the Neighborhood,3.7
A Beautiful Demon: Kazuo Koike on Lady Snowblood,3.0
A Beautiful Life,4.0
A Beautiful Life,4.5
A Beautiful Planet,3.4
A Beautiful Star,3.0
A Beauty & The Beast Christmas,2.0
A Bee in the Rain,2.6
A Beginner's Guide to Snuff,3.2
A Bela e o Paparazzo,3.5
A Bell From Hell,3.0
A Bend in the River,2.0
A Better Tomorrow,2.5
A Big Fat Family Christmas,1.2
A Bigger World,2.8
A Bill of Divorcement,3.5
A Billion Lives,3.1
A Bit of Bad Luck,1.5
A Bit of Tom Jones?,1.0
A Black Ribbon for Deborah,2.0
"A Black Rose Is an Emblem of Sorrow, a Red Rose an Emblem of Love",3.7
A Black Veil for Lisa,2.0
A Blade in the Dark,2.6
A Blank on the Map,4.2
A Blaster In The Right Hands: A Star Wars Story,2.5
A Blood Pledge,2.1
A Bloodthirsty Killer,3.5
A Bloody Aria,3.5
A Blue Automobile,2.0
A Blue Ridge Mountain Christmas,1.7
A Bluebird in My Heart,3.0
A Body to Die For: The Aaron Henry Story,2.5
A Bomb Was Stolen,2.9
A Bone to Pick: An Aurora Teagarden Mystery,3.2
A Book of Heroes,4.0
A Bookshop in Paris,2.5
A Boring Afternoon,4.0
A Boring Story,4.3
A Borrowed Life,4.2
A Bottle in the Gaza Sea,3.7
A Bout with a Trout,2.5
A Boy Called Christmas,2.9
A Boy Called Dad,4.0
A Boy Called Po,2.0
A Boy Called Sailboat,3.1
A Boy and His Atom: The World's Smallest Movie,2.3
A Boy and His Samurai,3.6
A Boy from Calabria,3.5
A Boy. A Girl. A Dream: Love on Election Night,2.3
A Boyfriend for Christmas,3.4
A Boyfriend for My Wife,3.6
A Brand New Life,3.8
A Brave Heart: The Lizzie Velasquez Story,3.7
A Bread Factory Part One: For the Sake of Gold,3.8
A Bread Factory Part Two: Walk with Me a While,3.6
A Bride for Christmas,3.5
A Bride for Henry,3.3
A Bride for Rip Van Winkle,3.8
A Bride from the North,2.5
A Brief History of John Baldessari,3.5
A Brief Season,0.5
A Bright Shining Lie,2.8
A Brighter Tomorrow,3.0
A Brilliant Madness,4.0
A Brilliant Monster,2.0
A Brixton Tale,3.0
A Brokedown Melody,3.5
A Broken Life,1.5
A Bronx Morning,2.9
A Brother,3.4
A Brother's Love,2.5
A Brush with Christmas,4.0
A Brush with Love,3.7
A Brutal Game,3.2
A Bucket of Blood,2.3
A Buddha,3.7
A Bullet Is Waiting,2.0
A Bullet for Pretty Boy,2.5
A Bullet for Sandoval,3.2
A Bullet for a Stranger,2.8
A Bump Along the Way,2.5
A Bunch of Amateurs,4.0
A Bundle of Trouble: An Aurora Teagarden Mystery,2.5
A Bunny's Tale,3.8
A Burlesque on Carmen,2.5
A Business Affair,2.5
A Busy Day,1.8
A Cage of Nightingales,3.2
A California Christmas,2.6
A California Christmas: City Lights,3.4
A Call to Remember,0.5
A Call to Spy,3.5
A Cam Life,2.5
A Captain's Honor,3.5
A Captive in the Land,2.0
A Car's Life: Sparky's Big Adventure,1.3
A Carne é Fraca,2.7
A Carol Christmas,1.5
A Carrocinha,4.0
A Case For P.C. 49,0
A Case of Deadly Force,2.0
A Castle Within a Castle,3.0
A Castle for Christmas,2.5
A Castle in Italy,2.2
A Cat with a Dog,0.5
A Celebration of the Music from Coco,3.0
A Century of Black Cinema,3.2
A Certain Justice,2.2
A Certain Magical Index: The Miracle of Endymion,2.7
A Chairy Tale,3.3
A Champion Heart,1.5
A Chance Encounter,3.5
A Chance of Snow,3.0
A Change of Place,4.5
A Change of Seasons,3.0
A Charlie Brown Celebration,2.0
A Charlie Brown Thanksgiving,3.3
A Charlie Brown Valentine,2.0
A Cheerful Christmas,2.8
A Cheerful Gang Turns the Earth,2.0
A Chiara,3.3
A Child Lost Forever: The Jerry Sherwood Story,2.0
A Child's Voice,1.0
A Children's Story,2.5
A Chinese Ghost Story,2.8
A Chinese Ghost Story III,3.2
A Chinese Ghost Story: The Tsui Hark Animation,3.6
A Chinese Odyssey Part One: Pandora's Box,3.5
A Chinese Odyssey Part Two: Cinderella,3.6
A Chinese Tall Story,4.0
A Chinese in a Coma,3.0
A Choice of Weapons: Inspired by Gordon Parks,3.5
A Choo,4.0
A Chorus of Disapproval,1.7
A Christmas Adventure ...From a Book Called Wisely's Tales,3.5
A Christmas Arrangement,0.5
A Christmas Break,0.5
A Christmas Cancellation,3.0
A Christmas Carol,2.3
A Christmas Carol,3.3
A Christmas Carol,3.2
A Christmas Carol,2.8
A Christmas Carol,2.0
A Christmas Carol,2.0
A Christmas Carol Goes Wrong,3.8
A Christmas Carousel,4.0
A Christmas Cruise,2.0
A Christmas Dance Reunion,0.5
A Christmas Detour,2.9
A Christmas Dream,3.0
A Christmas Eve Miracle,2.8
A Christmas Exchange,1.0
A Christmas Gift from Bob,3.1
A Christmas Hero,0.5
A Christmas Horror Story,3.0
A Christmas Kiss,3.2
A Christmas Kiss II,3.3
A Christmas Love,1.0
A Christmas Love Story,2.0
A Christmas Melody,2.8
A Christmas Memory,2.6
A Christmas Miracle for Daisy,3.0
A Christmas Movie Christmas,3.2
A Christmas Mystery,2.5
A Christmas Mystery,3.1
A Christmas Prince,2.9
A Christmas Prince: The Royal Baby,2.4
A Christmas Prince: The Royal Wedding,2.6
A Christmas Princess,3.2
A Christmas Proposal,0.5
A Christmas Recipe for Romance,2.8
A Christmas Romance,3.2
A Christmas Snow,1.8
A Christmas Star,1.0
A Christmas Story Christmas,2.9
A Christmas Story Live!,2.5
A Christmas Switch,2.9
A Christmas Tail,2.8
A Christmas Tale,2.8
A Christmas Treasure,1.8
A Christmas Tree Grows in Colorado,1.5
A Christmas Tree Miracle,3.2
A Christmas Visitor,3.2
A Christmas Wedding,2.5
A Christmas Wedding Date,4.5
A Christmas Wedding Tail,1.0
A Christmas Winter Song,0.5
A Christmas Wish,2.2
A Christmas Wish,3.7
A Christmas for Mary,2.0
A Christmas for the Books,3.6
A Christmas in Royal Fashion,1.5
A Christmas in Tennessee,5.0
A Christmas in Vermont,2.1
A Christmas to Remember,2.5
A Ciambra,3.1
A Cinderella Christmas,2.8
A Cinderella Story: Christmas Wish,2.7
A Cinderella Story: If the Shoe Fits,3.0
A Cinderella Story: Once Upon a Song,3.2
A Cinderella Story: Starstruck,0.5
A City of Sadness,3.9
A Class to Remember,2.5
A Classic Horror Story,2.6
A Clear Shot,2.5
A Clockwork Blue,0
A Closed Book,1.8
A Clüsterfünke Christmas,3.5
A Colbert Christmas: The Greatest Gift of All!,3.2
A Cold Night's Death,3.2
A Cold Wind in August,0
A Colony,3.5
A Colour Box,2.5
A Coming-Out Party,3.0
A Company Man,3.2
A Complicated Story,2.5
A Concerto Is a Conversation,3.4
A Connecticut Yankee,1.8
A Connecticut Yankee in King Arthur's Court,2.8
A Connecticut Yankee in King Arthur's Court,3.1
A Connecticut Yankee in King Arthur's Court,0.5
A Connecticut Yankee in King Arthur's Court,0
A Conspiracy of Faith,3.4
A Constant Forge,3.7
A Conversation with God,3.0
A Cookie Cutter Christmas,3.2
A Cool Fish,3.0
A Cooler Climate,4.0
A Cop Movie,2.8
A Cops and Robbers Story,1.0
A Corner in Wheat,3.1
A Corsican Summer,1.5
A Cosmic Christmas,2.6
A Costume for Nicolas,2.9
A Country Called Home,2.8
A Country Christmas,1.0
A Country Wedding,3.6
A Covenant with Death,0
A Cowboy Needs A Horse,3.0
A Cowgirl's Song,3.0
A Cowgirl's Story,5.0
A Crack in the Floor,2.1
A Crafty Christmas Romance,1.8
A Creepshow Animated Special,3.7
A Crime,2.5
A Crime,3.0
A Crimson Man,2.8
A Crooked Somebody,2.9
A Crude Awakening,3.1
A Crush on You,2.8
A Cry for Help,3.5
A Cry from Within,1.5
A Cry in the Wild,3.1
A Cry in the Wilderness,3.5
A Cuckoo in the Nest,2.5
A Cure for Wellness,3.2
A Curtain Raiser,3.5
A Cut Above,1.8
A Czechoslovak Fairy Tale,3.5
A Dancer's World,4.5
A Dandy in Aspic,2.7
A Dangerous Affair,2.5
A Dangerous Date,1.5
A Dangerous Game,4.0
A Dangerous Game,0.5
A Dangerous Man: Lawrence After Arabia,3.4
A Dangerous Place,3.0
A Dangerous Son,3.4
A Dark Foe,2.0
A Dark Path,3.5
A Dark Place Inside,5.0
A Dark Song,3.4
"A Dark, Dark Man",4.2
A Dash Through the Clouds,2.0
A Dash of Love,3.1
A Date for Mad Mary,3.4
A Date in 2025,2.9
A Date with Miss Fortune,3.1
A Date with the Falcon,3.5
A Daughter Of Destiny,2.4
A Daughter's Nightmare,3.3
A Daughter's Revenge,1.0
A Day,3.1
A Day at the Beach,3.5
A Day for Thanks on Walton's Mountain,4.0
A Day in Court,3.8
A Day in the Death of Joe Egg,3.2
A Day in the Life of America,3.0
A Day to Die,2.4
A Deadly Adoption,2.4
A Deadly Encounter,2.5
A Deadly Legend,1.3
A Deadly Obsession,3.2
A Deadly Place,2.2
A Deal With The Universe,1.8
A Death in the Gunj,3.8
A December Bride,3.3
A Decent Life,3.6
A Decent Man,3.8
A Decent Woman,3.0
A Demon Within,2.2
A Desperate Crime,3.0
A Detective Story,3.5
A Different Kind of Christmas,3.5
A Different Loyalty,2.7
A Different Story,2.2
A Difficult Life,3.9
A Dirty Story,4.0
A Distant Cry from Spring,3.2
A Distant Trumpet,2.5
A Diva's Christmas Carol,2.3
A Diving Bomber Chronicle,2.2
A Dog Called Money,2.5
A Dog Named Christmas,2.5
A Dog Named Duke,2.5
A Dog Named Palma,3.2
A Dog and Pony Show,0.5
A Dog of Flanders,2.8
A Dog of Flanders,0
A Dog's Breakfast,3.1
A Dog's Dream,3.3
A Dog's Journey,3.5
A Dog's Purpose,3.6
A Dog's Way Home,3.3
A Doggone Christmas,0.5
A Dogwalker's Christmas Tale,3.9
A Doll's House,2.5
A Dollar Between the Teeth,3.0
A Dot and a Line,2.5
A Dragon Arrives!,3.2
A Dragonfly for Each Corpse,2.0
A Dramatic Film,5.0
A Dream Walking,3.3
A Dream Within a Dream: The Making of 'Picnic at Hanging Rock',5.0
A Dream is a Wish Your Heart Makes: The Annette Funicello Story,2.5
A Dream of Christmas,3.8
A Dream of Kings,2.5
A Dream of Passion,3.2
A Driver for Vera,3.0
A Drummer's Dream,4.0
A Esmorga,3.3
A Esperança é a Última Que Morre,3.0
A F*ckload of Scotch Tape,1.5
A Face in the Fog,1.8
A Fairly Odd Summer,3.0
A Fairy Tale Christmas,1.5
A Fairy Tale Wedding,2.5
A Faithful Man,2.8
A Fall From Grace,3.1
A Family Affair,3.0
A Family Finds Entertainment,1.2
A Family Man,3.4
A Family Portrait,3.5
A Family Submerged,1.0
A Family Thanksgiving,2.5
A Family Tour,3.0
A Fan's Notes,3.5
A Fantastic Woman,3.5
A Fantastical Meal,3.5
A Fare to Remember,3.5
A Farewell to Jinu,3.0
A Faster Horse,3.5
A Fat Wreck,3.1
A Father's Choice,3.0
A Father's Legacy,2.5
A Father's Revenge,0
A Feather in Her Hat,0
A Feeling of Home,5.0
A Feral World,2.3
A Few Cubic Meters of Love,3.5
A Few Days in September,2.7
A Few Days with Me,2.5
A Few Hours Of Spring,3.0
A Few Kilos of Dates for a Funeral,4.0
A Few Less Men,2.2
A Fiance for Christmas,1.0
A Field Full of Secrets,3.8
A Fierce Green Fire,3.0
A Fight For,3.5
A Fighter's Blues,1.8
A Fighting Man,2.9
A Filha dos Trapalhões,3.8
A Film About Coffee,4.5
A Film About Mikhail Kalatozov,2.5
A Film For Families About Learning Differences,4.0
A Film Johnnie,2.8
A Film Like Any Other,2.8
A Fine Day,3.0
A Fine Line,3.5
A Fine Step,5.0
A Fire,1.8
A Fire Within,4.5
A Fire in a Burlesque Theatre,2.6
A Fire in the Cold Season,3.5
A First Farewell,3.0
A Fish in the Bathtub,3.3
A Fishy Business in Saint-Pierre et Miquelon,1.0
A Fist Full of Talons,3.0
A Flame in My Heart,5.0
A Flat for Three,4.5
A Flea Market Documentary,3.0
A Flight of Rainbirds,1.0
A Flintstone Christmas,2.7
A Flintstone Family Christmas,2.5
A Flintstones Christmas Carol,2.8
A Floresta Que se Move,2.0
A Florida Enchantment,2.8
A Flying Jatt,2.3
A Flying Ship,3.7
A Fool,4.2
A Fool and His Money,1.0
A Fool and His Money,1.8
A Fool's World,1.0
A Forbidden Orange,2.5
A Foreign Affair,3.0
A Fortunate Man,3.7
A Four Letter Word,1.8
A Fox's Tale,0.6
A Fractured Leghorn,3.0
A Fragile Bond,3.0
A Free Bird,5.0
A Free Woman,3.7
A French Lesson,3.2
A Friendly Tale...,3.6
A Frosty Affair,3.8
A Frozen Flower,3.6
A Fugitive from the Past,3.9
A Full Day's Work,2.5
A Fuller Life,3.2
A Funny Shave,3.0
A Futile & Stupid Gesture,3.3
A Future to Hold,3.0
"A Galaxy Far, Far Away",2.3
A Game of Death,2.2
A Game of Honor,2.0
A Game with Stones,2.9
A Garibaldian in the Convent,1.5
A Gathering of Cats,3.6
A Gathering of Eagles,3.2
A Gay Girl in Damascus: The Amina Profile,4.0
A Geisha,3.6
A Genius Leaves the Hood - The Unauthorized Story of Jay Z,3.5
A Gentle Creature,3.6
A Gentle Night,3.5
A Gentle Spirit,3.0
A Gentleman,3.2
A Gentlemen's Duel,3.4
A German Life,3.4
A German Party,0
A German Youth,4.2
A Gesture Fight in Hester Street,2.0
A Ghost Story,3.5
A Ghost Waits,3.6
A Ghost in Monte Carlo,3.4
A Gift Horse,4.2
A Gift Wrapped Christmas,3.2
A Gift of Miracles,4.5
A Gift to Remember,4.0
A Gift with a Character,2.2
A Gingerbread Christmas,3.5
A Gingerbread Romance,1.2
A Girl Called Jules,5.0
A Girl Is a Gun,2.5
A Girl Like Grace,3.5
A Girl Like Her,3.5
A Girl Like Me: The Gwen Araujo Story,1.6
A Girl Missing,3.8
A Girl Named Sooner,4.5
A Girl Thing,3.0
A Girl and A Guy,3.5
A Girl and Her Gun,3.0
A Girl at My Door,3.3
A Girl in Australia,3.8
A Girl in Black,3.9
A Girl in the River: The Price of Forgiveness,3.7
A Girl of the Limberlost,4.5
A Girl's Tears,3.5
"A Girl, A Guy, And A Gob",0
A Glass of Whiskey,0.5
A Glimpse of Hell,3.0
A Glitch in the Matrix,3.0
A Gnome Named Gnorm,2.2
A Godwink Christmas,3.5
"A Godwink Christmas: Second Chance, First Love",5.0
A Golden Boy,2.8
A Good American,3.5
A Good Funeral,3.0
A Good Man,3.8
A Good Man,2.2
A Good Man,1.5
A Good Marriage,2.6
A Good Person,3.5
A Good Rain Knows,3.4
A Good Time for a Dime,2.9
A Good Wife,3.9
A Good Woman Is Hard to Find,3.1
A Gorgeous Girl Like Me,3.1
A Grain of Truth,2.8
A Grand Night In: The Story of Aardman,3.1
A Grande Família: O Filme,3.0
A Gray State,3.1
A Great American Tragedy,2.5
A Great Big Bunch of You,2.0
"A Great Life, Part 1",4.0
"A Great Life, Part 2",3.5
A Great Wall,3.6
A Green Journey,0.5
A Grim Becoming,0.5
A Grocery Clerk's Romance,2.5
A Groom from a Security Agency,4.0
A Groom from the Right Society,2.8
A Gruta,2.0
A Gschicht über d'Lieb,4.0
A Guiana Sumiu...,1.0
A Guide to Dating at the End of the World,3.0
A Guide to Second Date Sex,2.4
A Guidebook to Killing Your Ex,3.5
A Guilty Conscience,2.2
A Gun for Jennifer,4.2
A Gun for One Hundred Graves,2.5
A Gun in Each Hand,3.2
A Gunfight,2.4
A Habit of Breaking-Up,3.5
A Hand Shake,1.4
A Happening of Monumental Proportions,2.8
A Happy Divorce,2.0
A Hard Day,3.7
A Harlot's Progress,3.2
A Harvest Wedding,5.0
A Haul in One,2.5
A Haunting On Dice Road 2: Town of the Dead,2.2
A Haunting at the Rectory,1.5
A Haunting in Cawdor,3.2
A Haunting on Dice Road: The Hell House,2.0
A Haunting on Gabriel Street,0.5
A Haunting on Hamilton Street,2.2
A Haunting on Hamilton Street 2: The Stable,1.3
A Hazard of Hearts,2.8
A Heartbeat Away,3.5
A Heartland Christmas,4.4
A Heavenly Christmas,3.8
A Hen in the Wind,3.6
A Herb Alpert & the Tijuana Brass Double Feature,2.2
A Hero,3.8
A Hero Ain't Nothin But a Sandwich,3.0
A Hero in his Slippers,3.1
A Hero of Our Times,2.8
A Hero of Tokyo,3.0
A Hidden Life,3.7
A Hill in Korea,3.0
A History of Horror with Mark Gatiss,3.9
A History of Sex,5.0
A Hitman in London,1.8
A Hole in One,1.5
A Hole in the Head,3.5
A Hole in the Head,0.5
A Holiday Boyfriend,4.0
A Holiday Heist,5.0
A Holiday Pageant at Home,2.0
A Holiday to Remember,1.5
A Hollywood Christmas,4.0
A Hologram for the King,3.1
A Holy Mess,1.9
A Holy Place,3.2
A Home at the End of the World,3.4
A Hometown in Heart,4.0
A Horrible Woman,3.2
A Horse Tail,4.5
A Horse for Danny,4.2
A Horse for Summer,3.0
A Hound for Trouble,3.9
A House A Little Too Quiet,5.0
A House Divided,2.5
A House Divided,3.0
A House Divided: Denmark Vessey's Rebellion,3.0
A House In The Hills,3.5
A House Made of Splinters,3.9
A House is Not a Home,2.5
A House of Secrets: Exploring 'Dragonwyck',3.0
A House of Your Dreams,3.0
A House on Fire,2.5
A House on the Bayou,3.1
A Howling in the Woods,3.5
A Human Position,3.5
A Humble Life,3.5
A Hundred Flowers,3.5
A Hunting Accident,3.6
A Husband for Christmas,0.5
A Husband of Round Trip,3.5
A Hustler's Diary,2.9
A Hyena in the Bank Vault,2.5
A Ilha de Moraes,2.5
A Ilha dos Amores,3.5
A Is For Acid,3.5
A Is for Autism,2.8
A Japanese Tragedy,3.8
A Jazzman's Blues,3.0
A Jihad for Love,3.0
A Job to Kill For,5.0
"A Joke of Destiny, Lying in Wait Around the Corner Like a Bandit",0
A Journal for Jordan,2.6
A Journey Through Fairyland,3.3
A Journey into Bliss,2.5
A Journey to the Fumigated Towns,1.8
A Joy Ride,3.0
A Joyous Christmas,2.0
A Judge of Honor,4.5
A Justified Life: Sam Peckinpah and the High Country,2.5
A Key to the Bedroom,1.9
A Kid,3.0
A Kid Like Jake,2.9
A Kid from Coney Island,3.7
A Kid in Aladdin's Palace,2.2
A Killer Among Friends,4.0
A Killer Among Us,3.0
A Killer Next Door,1.5
A Killer Within,2.2
A Killing in a Small Town,5.0
A Kind of America,3.2
A Kind of America 2,3.2
A Kind of Murder,2.6
A Kindhearted Christmas,1.8
A King Without Distraction,3.5
A King and His Movie,4.0
A Kiss Before Christmas,3.5
A Kiss Goodnight,4.0
A Kiss at Midnight,2.8
A Kiss of Chaos,3.0
A Kiss on Candy Cane Lane,2.0
A Kitten For Hitler,2.8
A Knife for the Ladies,0.5
A Knight for a Day,3.1
A Knight in Camelot,2.8
A LEGO Brickumentary,3.5
A Labor of Love,3.0
A Lady to Love,2.5
A Land Imagined,3.3
A Last Note,3.5
A Leading Man,0
A Leaf of Faith,2.0
A Leap in the Dark,3.0
A Lesson Before Dying,2.4
A Lesson in Cruelty,2.0
A Lesson in Romance,3.5
A Letter for Evie,4.2
A Letter to Uncle Boonmee,3.5
A Life Among Whales,3.5
A Life On The Farm,3.5
A Life Without Pain,3.5
A Life at Stake,2.2
A Life for a Life,2.2
A Life in Dirty Movies,3.6
A Life in Suitcases,3.5
A Life of Endless Summers: The Bruce Brown Story,0
A Life of Speed: The Juan Manuel Fangio Story,3.6
A Light Beneath Their Feet,2.9
A Light Never Goes Out,2.5
A Line Across the Sky,2.8
A Lion in the House,4.0
A Little Bit Zombie,2.2
A Little Chaos,3.4
A Little Christmas Charm,5.0
A Little Daytime Drama,3.5
A Little Doll,3.2
A Little Game,3.4
A Little Hero,3.0
A Little Inside,3.0
A Little Lust,2.9
A Little Night Music,3.8
A Little Pond,4.2
A Little Princess,3.5
A Little Princess,4.0
A Little Sex,0
A Little Sun in Cold Water,2.5
A Little Thing Called Love,4.0
A Little Thing Called Murder,3.0
A Little White Lie,3.2
A Little dinosour doolie - The Adventure Of Ice Planet,3.4
A Loaf of Bread,3.7
A Lobster Tale,3.7
A Lonely Cow Weeps at Dawn,3.0
A Long Ride from Hell,3.5
A Long Story,3.9
A Long Walk,3.7
A Long Way From Home,2.8
A Long and Happy Life,3.0
A Long and Happy Life,2.9
A Look Into the 23rd Century,2.5
A Lost Lady,3.0
A Lost Letter,5.0
A Lot Like You,3.5
A Lot of Nothing,3.0
A Loud House Christmas,1.0
A Lovasíjász,3.5
A Love Affair of Sorts,5.0
A Love Movie,2.8
A Love Song,3.0
A Love Song for Latasha,3.2
A Love in Germany,3.2
A Love to Hide,3.8
A Love to Remember,3.5
A Lovely Way to Die,4.0
A Loving Husband,3.0
A Lucky Leap,2.5
A Lullaby for Men,2.8
A Lullaby to the Sorrowful Mystery,4.5
A Lustful Man,5.0
A Lustful Mind,0
A Lynx in the Town,4.0
A Madea Family Funeral,1.7
A Magic Christmas,3.0
A Magnificent Haunting,3.2
A Maine Movie,4.0
A Majestic Christmas,0.5
A Man Au Pair,2.5
A Man Betrayed,0
A Man Called Ahok,2.2
A Man Called Amen,0
A Man Called Blade,3.5
A Man Called Dagger,0
A Man Called Hero,2.7
A Man Called Jon,5.0
A Man Called Magnum,2.9
A Man Called Otto,3.6
A Man Called Ove,3.9
A Man Called Sarge,1.5
A Man Could Get Killed,1.8
A Man From Podolsk,3.0
A Man Named John,3.5
A Man Named Scott,3.3
A Man To Remember,5.0
A Man Was Born,2.2
A Man Who Was Superman,3.5
A Man and His Dog,3.5
A Man and Two Women,3.0
A Man and a Woman,3.9
A Man and a Woman: 20 Years Later,2.6
A Man at His Place,3.0
A Man for Burning,4.0
"A Man for Emmanuelle (Io, Emmanuelle)",1.5
A Man from Boulevard des Capucines,3.8
A Man from Boulevard des Capucines,0.7
A Man in Love,4.5
A Man is Dead,3.0
A Man of Action,3.5
A Man of Integrity,3.6
A Man on His Knees,2.8
A Man with Warranty,2.8
A Man's Land,1.0
"A Man, a Horse, a Gun",2.6
"A Man, a Woman and a Bank",3.0
A March to Remember,1.5
A Marvada Carne,3.5
